"cohort","edu","sex","origin","women_total","children_total","parity_0","parity_1","parity_2","parity_3","parity_4","parity_5","parity_6","parity_7","parity_8p","CFR","CFR1","CFR2","CFR3","CFR4","CFR5","CFR6","CFR7","CFR8p","SHARE0","SHARE1","SHARE2","SHARE3","SHARE4","SHARE5","SHARE6","SHARE7","SHARE8p","PPR01","PPR12","PPR23","PPR34","PPR45","PPR56","PPR67"
1953,"ISCED0-2A","F","Total",1531,4037,46,106,580,542,181,47,20,6,3,2.637,0.970,0.901,0.522,0.168,0.050,0.019,0.006,0.002,0.030,0.069,0.379,0.354,0.118,0.031,0.013,0.004,0.002,0.970,0.929,0.579,0.322,0.296,0.382,0.310
1953,"ISCED3C-A","F","Total",828,1755,36,100,471,182,31,5,3,0,0,2.120,0.957,0.836,0.267,0.047,0.010,0.004,0.000,-0.000,0.043,0.121,0.569,0.220,0.037,0.006,0.004,0.000,0.000,0.957,0.874,0.319,0.176,0.205,0.375,0.000
1953,"ISCED5B-6","F","Total",241,469,17,29,151,38,6,0,0,0,0,1.946,0.929,0.809,0.183,0.025,0.000,0.000,0.000,-0.000,0.071,0.120,0.627,0.158,0.025,0.000,0.000,0.000,0.000,0.929,0.871,0.226,0.136,0.000,0.000,0.000
1954,"ISCED0-2A","F","Total",1897,4721,55,162,857,552,201,49,11,7,3,2.489,0.971,0.886,0.434,0.143,0.037,0.011,0.005,0.002,0.029,0.085,0.452,0.291,0.106,0.026,0.006,0.004,0.002,0.971,0.912,0.490,0.329,0.258,0.300,0.476
1954,"ISCED3C-A","F","Total",1094,2279,47,144,630,229,33,10,1,0,0,2.083,0.957,0.825,0.250,0.040,0.010,0.001,0.000,0.000,0.043,0.132,0.576,0.209,0.030,0.009,0.001,0.000,-0.000,0.957,0.862,0.302,0.161,0.250,0.091,0.000
1954,"ISCED5B-6","F","Total",295,565,18,51,176,42,6,1,0,1,0,1.915,0.939,0.766,0.169,0.027,0.007,0.003,0.003,0.000,0.061,0.173,0.597,0.142,0.020,0.003,0.000,0.003,-0.000,0.939,0.816,0.221,0.160,0.250,0.500,1.000
1955,"ISCED0-2A","F","Total",1905,4562,56,191,914,518,167,41,13,3,2,2.395,0.971,0.870,0.391,0.119,0.031,0.009,0.003,0.002,0.029,0.100,0.480,0.272,0.088,0.022,0.007,0.002,0.001,0.971,0.897,0.449,0.304,0.261,0.305,0.278
1955,"ISCED3C-A","F","Total",1229,2513,56,171,745,200,47,6,0,1,3,2.045,0.954,0.815,0.209,0.046,0.008,0.003,0.003,0.005,0.046,0.139,0.606,0.163,0.038,0.005,0.000,0.001,0.002,0.954,0.854,0.256,0.222,0.175,0.400,1.000
1955,"ISCED5B-6","F","Total",420,790,32,63,261,55,7,1,0,1,0,1.881,0.924,0.774,0.152,0.021,0.005,0.002,0.002,-0.000,0.076,0.150,0.621,0.131,0.017,0.002,0.000,0.002,0.000,0.924,0.838,0.197,0.141,0.222,0.500,1.000
1956,"ISCED0-2A","F","Total",1741,4043,57,185,876,448,135,26,10,2,2,2.322,0.967,0.861,0.358,0.101,0.023,0.008,0.002,0.002,0.033,0.106,0.503,0.257,0.078,0.015,0.006,0.001,0.001,0.967,0.890,0.416,0.281,0.229,0.350,0.286
1956,"ISCED3C-A","F","Total",1292,2622,49,194,786,221,29,8,2,1,2,2.029,0.962,0.812,0.204,0.033,0.010,0.004,0.002,0.003,0.038,0.150,0.608,0.171,0.022,0.006,0.002,0.001,0.002,0.962,0.844,0.251,0.160,0.310,0.385,0.600
1956,"ISCED5B-6","F","Total",419,781,26,68,273,46,5,0,0,0,1,1.864,0.938,0.776,0.124,0.014,0.002,0.002,0.002,0.005,0.062,0.162,0.652,0.110,0.012,0.000,0.000,0.000,0.002,0.938,0.827,0.160,0.115,0.167,1.000,1.000
